smiles,value
CN1CCOCC1,-6.32
CCCCCCCC(=O)OC,-2.04
c1ccc(cc1)CO,-6.62
CC(C)(C)c1ccccc1,-0.44
c1c(=O)[nH]c(=O)[nH]c1Cl,-15.83
COc1ccc(cc1)C(=O)OC,-5.33
CC1CCC(CC1)C,2.11
COC(=O)c1ccccc1,-3.92
CC(C)c1ccccc1,-0.3
CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],-5.66
CCCC(=O)CCC,-2.92
COS(=O)(=O)C,-4.87
c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4
COc1cccc(c1)N,-7.29
CC(C)OC(=O)C,-2.64
c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,-3.84
COC,-1.91
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47
CCCCCCCI,0.27
CCCCN(CC)C(=O)SCCC,-3.64
CCCCCCCC,2.88
CCCCBr,-0.4
CCCCCCI,0.08
c1cc(ccc1C#N)O,-10.17
CCCCC=O,-3.03
CCCC,2.1
CCSC,-1.5
CCOC(=O)CCC(=O)OCC,-5.71
CCC/C=C/C=O,-3.68
Cc1ccc(cc1)C,-0.8
c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52
CCCCCCN,-3.95
COC(C(F)(F)F)(OC)OC,-0.8
CC(=O)O,-6.69
c1cc(ccc1C=O)O,-8.83
Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl,-11.14
CCOC(OCC)Oc1ccccc1,-5.23
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,-5.22
c1ccc2ccccc2c1,-2.4
c1ccc(c(c1)[N+](=O)[O-])O,-4.58
c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48
c1ccc(cc1)O,-6.6
c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04
c1cc(c(c(c1)Cl)c2c(cccc2Cl)Cl)Cl,-2.28
CCCC[N+](=O)[O-],-3.09
c1cc(cnc1)C=O,-7.1
CC(C)(C)C(=O)OC,-2.4
c1ccc(cc1)N,-5.49
CCCC[C@@H](C)CC,2.97
CCNCC,-4.07
CCCCCN,-4.09
C[N+](=O)[O-],-4.02
CCCCCI,-0.14
CN(C)C(=O)Nc1ccccc1,-9.13
c1ccnc(c1)Cl,-4.39
C1CCCC1,1.2
CC1=CC(=O)CC(C1)(C)C,-5.18
CC(=C)c1ccccc1,-1.24
COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-7.19
CCCSCCC,-1.28
CCC(=O)N,-9.4
c1ccc(cc1)C=O,-4.02
Cc1cccc(c1O)C,-5.26
CC(Cl)Cl,-0.84
CCC,2.0
CCCCCCCCC=O,-2.07
c1cnccc1C#N,-6.02
CCCCCC(=O)N,-9.31
C1=CC(=O)C=CC1=O,-6.5
Cc1cc(cnc1)C,-4.84
CCc1cccnc1,-4.59
c1ccc(cc1)OC=O,-3.82
CC[C@H](C)n1c(=O)c(c([nH]c1=O)C)Br,-9.73
CC(=CCC/C(=C\CO)/C)C,-4.78
Cc1ccc(cc1)Br,-1.39
CCCI,-0.53
CCCCC#N,-3.52
C,2.0
CCCOC(=O)CC,-2.44
CCCOCCC,-1.16
CC(=C)[C@H]1CCC(=CC1)C=O,-4.09
CCCCCCCC(=O)C,-2.49
c1ccc(cc1)Cn2ccnc2,-7.63
CC(C)COC(=O)C,-2.36
CCCCCCCCl,0.29
Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78
CCCCCCCCCCO,-3.64
c1ccc(cc1)I,-1.74
c1ccc(cc1)CCO,-6.79
c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.81
Cc1cccc(c1)[N+](=O)[O-],-3.45
c1ccc(cc1)c2cc(ccc2Cl)Cl,-2.46
COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.88
C[C@@H]1CCCC[C@@H]1C,1.58
COCCN,-6.55
c1ccc2c(c1)Cc3ccccc3C2,-3.78
C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O,-7.0
c1cc(cc(c1)[N+](=O)[O-])N,-8.84
c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53
CC(C)(C)C,2.51
COC(OC)OC,-4.42
CC(C)NC(C)C,-3.22
C([N+](=O)[O-])(Cl)(Cl)Cl,-1.45
CCCCOC(=O)C,-2.64
CC,1.83
CCCCC(=O)O,-6.16
COc1cccc(c1)O,-7.66
Cc1ccc(cc1)C(=O)C,-4.7
Cc1cccnc1,-4.77
CCc1ccc(cc1)C,-0.95
COc1cccc(c1O)OC,-6.96
CCCC(C)(C)O,-3.92
Cc1cc(cc(c1)C)C,-0.9
CCCc1ccccc1,-0.53
Cc1ccccn1,-4.63
C1CCNC1,-5.48
CCc1cccc(c1N(COC)C(=O)CCl)CC,-8.21
CCCCC=C,1.58
CCNc1nc(nc(n1)Cl)NCC,-10.22
c1cc(ccc1O)F,-6.19
CCCCCCCCCC(=O)C,-2.15
c1c(c(cc(c1Cl)Cl)Cl)Cl,-1.34
Cc1ccc(cc1C)O,-6.5
c1ccc2c(c1)cccn2,-5.72
C1(C(C(C1(F)F)(F)F)(F)F)(F)F,3.43
C(Cl)(Cl)Cl,-1.08
CCCOC(=O)C,-2.79
C1COCCN1,-7.17
C(F)(F)Cl,-0.5
C(C(Cl)(Cl)Cl)(Cl)Cl,-1.23
c1cnccc1C=O,-7.0
CCCNCCC,-3.65
COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-12.74
c1cc(cc(c1)C(F)(F)F)C(F)(F)F,1.07
CCCO,-4.85
Cc1cc(c2ccccc2c1)C,-2.47
c1ccc(cc1)F,-0.8
C1=C[C@@H]([C@@H]2[C@H]1[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-2.55
COC(c1ccccc1)(OC)OC,-4.04
Cc1c[nH]cn1,-10.27
CCCCCBr,-0.1
C(=C\Cl)\Cl,-1.17
Cn1cccc1,-2.89
CCOC(=O)c1ccc(cc1)O,-9.2
CN1CCNCC1,-7.77
C1CC=CC1,0.56
CCCCCCC#C,0.71
CCCCCCCCO,-4.09
CC(C)OC(C)C,-0.53
CCCCNCCCC,-3.24
CCSCC,-1.46
CCCCCCCCC,3.13
c1ccc(cc1)c2ccccc2,-2.7
CCC(C)(C)CC,2.56
CCCCCCCCC(=O)C,-2.34
c1ccc(cc1)S,-2.55
CC(=O)C,-3.8
CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-],-7.98
CCC[C@@H](C)O,-4.39
CC(C)COC(=O)C(C)C,-1.69
CSSC,-1.83
CCCCCC,2.48
CN(CC(F)(F)F)c1ccccc1,-1.92
C(I)I,-2.49
COCOC,-2.93
CCCCc1ccccc1,-0.4
C(CO[N+](=O)[O-])O[N+](=O)[O-],-5.73
C(C(Cl)(Cl)Cl)Cl,-1.43
CCOC(=O)C[C@H](C(=O)OCC)SP(=S)(OC)OC,-8.15
CCCOCCO,-6.4
COC(=O)CCl,-4.0
CCCCCCCC=O,-2.29
CCl,-0.55
C(C(Cl)Cl)(Cl)Cl,-2.37
CC#C,-0.48
CCCC#C,0.01
CCc1cccc(c1)O,-6.25
CC(=C)C,1.16
CCCN(CCC)C(=O)SCCC,-4.13
c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17
c1cc(cc(c1)O)C=O,-9.52
c1ccc2c(c1)cccc2O,-7.67
CCCCCCCl,0.0
C=CC=C,0.56
CC(C)CO,-4.5
c1ccc(c(c1)O)I,-6.2
CC(C)C=O,-2.86
Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C,-9.41
CCOC(=O)c1ccccc1,-3.64
CCCCOCCCC,-0.83
CC1=CC(=O)[C@@H](CC1)C(C)C,-4.51
CS(=O)(=O)C,-10.08
CC(=O)N1CCCC1,-9.8
CCCCCCO[N+](=O)[O-],-1.66
CN(C)c1ccccc1,-3.45
CCCN,-4.39
CC1=CCCCC1,0.67
C1C=CC=CC=C1,-0.99
CCS,-1.14
CCCCCOC(=O)C,-2.51
CCC[C@H](CC)O,-4.06
S,-0.7
c1cc(cnc1)Cl,-4.01
c1ccc(cc1)C(=O)N,-11.0
CCc1ccccc1O,-5.66
c1ccc(cc1)[N+](=O)[O-],-4.12
CC[C@@H](C)CO,-4.42
c1ccc-2c(c1)Cc3c2cccc3,-3.35
C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-9.01
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,-9.53
CCCCCCCO,-4.21
c1c(c(=O)[nH]c(=O)[nH]1)Cl,-17.74
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98
CCCc1ccc(cc1)O,-5.21
CCCCCl,-0.16
CC(=O)N,-9.71
C(C(F)(F)F)O,-4.31
c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.71
CCCCCCCN,-3.79
CC(C)(C)c1ccc(cc1)O,-5.91
CCCOC=O,-2.48
c1ccc(cc1)CCCO,-6.92
CCOCC,-1.59
CCCC(=C)C,1.47
CC(C)(C)Br,0.84
CN1CCN(CC1)C,-7.58
CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-6.74
CCN(CC)CC,-3.22
CBr,-0.82
c1ccc2c(c1)ccc3c2cccc3,-3.88
c1cc(c(c(c1)Cl)Cl)Cl,-1.24
c1cc(c(c(c1)Cl)C#N)Cl,-4.71
CC(C)[N+](=O)[O-],-3.13
CC#N,-3.88
CCC=C,1.38
c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,-1.96
CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.25
CC(C)CCO,-4.42
CC(C)COC=O,-2.22
c1c(c(=O)[nH]c(=O)[nH]1)F,-16.92
c1c(c(=O)[nH]c(=O)[nH]1)C(F)(F)F,-15.46
CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl,-5.04
CC(C)CCOC=O,-2.13
CCCCCCC=C,1.92
CCCCC(=O)OC,-2.56
C=O,-2.75
c1cc(ccc1N)N(=O)=O,-9.82
Cc1cccc(c1)C,-0.83
Cc1ccccc1,-0.9
C1CNC1,-5.56
CCOC(C)OCC,-3.28
C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,-10.21
C(F)Cl,-0.77
CCCCCCCCCC,3.16
CCCCS,-0.99
CCCCCCCCBr,0.52
CS(=O)C,-9.280000000000001
C1CCCC(CC1)O,-5.48
C=CCO,-5.03
c1ccc2cc(ccc2c1)N,-7.47
C(=C(Cl)Cl)Cl,-0.44
CCCC=C,1.68
CF,-0.22
CN(C)C=O,-7.81
C(C(Cl)Cl)Cl,-1.99
CCCCCCCCN,-3.65
C(CCl)OCCCl,-4.23
CC1(Cc2cccc(c2O1)OC(=O)NC)C,-9.61
c1cc(c(c(c1Cl)Cl)Cl)Cl,-1.34
COc1c(c(c(c(c1Cl)C=O)Cl)OC)O,-8.68
CCCCOCCO,-6.25
c1ccc2cc(ccc2c1)O,-8.11
CCC(C)(C)O,-4.43
Cc1ccccc1O,-5.9
C(Br)(Br)Br,-2.13
CC(C)(C)OC,-2.21
CS,-1.2
C[C@@H](CCl)Cl,-1.27
[C@@H](C(F)(F)F)(OC(F)F)Cl,0.1
CC(C)(C)O,-4.47
C(C(F)(Cl)Cl)(F)(F)Cl,1.77
CC(C)CC(C)(C)C,2.89
CCCCCCOC(=O)C,-2.26
CN(C)C(=O)c1ccc(cc1)[N+](=O)[O-],-11.95
COP(=O)(OC)OC,-8.7
c1cc(c(cc1Cl)Cl)Cl,-1.12
CCOC(=O)CC(=O)OCC,-6.0
C1CC[S+2](C1)([O-])[O-],-8.61
CCCCC[N+](=O)[O-],-2.82
c1ccc(cc1)C#N,-4.1
C(CO)O,-9.3
C(F)(F)(F)F,3.12
COC(=O)CC#N,-6.72
CC(=CCC/C(=C/CO)/C)C,-4.45
CC1CCCC1,1.59
COCC(OC)(OC)OC,-5.73
CC[C@@H](C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],-6.23
c1ccsc1,-1.4
Cc1ccc(c2c1cccc2)C,-2.82
CN(C)CCOC(c1ccccc1)c2ccccc2,-9.34
Cc1cccc(n1)C,-4.59
CN(C)C(=O)c1ccc(cc1)OC,-11.01
CCOP(=O)(OCC)O/C(=C/Cl)/c1ccc(cc1Cl)Cl,-7.07
Cc1cnccn1,-5.51
c1c(c(=O)[nH]c(=O)[nH]1)I,-18.72
c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1
CC(=C)C=C,0.68
COc1ccccc1N,-6.12
CC(=O)OCCOC(=O)C,-6.34
Cc1ccnc(c1)C,-4.86
CCCCCC1CCCC1,2.55
C(C(F)(F)F)Cl,0.06
Cc1ccccc1[N+](=O)[O-],-3.58
NN,-9.3
c1ccc(c(c1)O)Cl,-4.55
CC(C)C(C)C,2.34
c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.56
CC[C@@H](C)C(C)C,2.52
CCCCI,-0.25
c1cc2c(cc1Cl)Oc3ccc(cc3O2)Cl,-3.67
CC(C)I,-0.46
CCCCCCBr,0.18
c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15
COS(=O)(=O)OC,-5.1
CCI,-0.74
CC(Cl)(Cl)Cl,-0.19
C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29
c1ccc(cc1)C(F)(F)F,-0.25
C1CCC=CC1,0.14
CC(C)CC(=O)O,-6.09
CCOCCOCC,-3.54
CCCCCCCBr,0.34
Cc1ccc(c(c1)O)C,-5.91
CCSSCC,-1.64
CCCCC/C=C/C=O,-3.43
COc1c(ccc(c1C(=O)O)Cl)Cl,-9.86
CC(C)OC=O,-2.02
Cc1cccc(c1C)O,-6.16
CCCC=O,-3.18
Cc1ccc(c(c1)OC)O,-5.8
CC(=O)c1cccnc1,-8.26
CCOC(=O)C,-2.94
CCCCCCCCCO,-3.88
CCCCOC(=O)c1ccc(cc1)O,-8.72
Cc1ccc(cc1)O,-6.13
CCCCO,-4.72
C=C(Cl)Cl,0.25
Cc1ccc(nc1)C,-4.72
c1ccc2c(c1)C(=O)NC2=O,-9.61
c1cc(c(cc1c2ccc(cc2F)F)C(=O)O)O,-9.4
CCCCC(C)C,2.93
C1CCC(=O)CC1,-4.91
C1[C@H]([C@@H]2[C@H]([C@H]1Cl)[C@]3(C(=C([C@@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,-3.44
C[C@H](CC(C)C)O,-3.73
CC(C)Cl,-0.25
CCc1cccc2c1cccc2,-2.4
COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03
COC=O,-2.78
Cc1cc2ccccc2cc1C,-2.78
C1CCOC1,-3.47
CCCCOC[C@H](C)O,-5.73
C(Cl)(Cl)(Cl)Cl,0.08
CCCCCCCC=C,2.06
CCCBr,-0.56
c1ccc(cc1)Br,-1.46
Cc1ccc(cc1)N,-5.57
c1cc(cc(c1)O)C#N,-9.65
CO,-5.1
CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.43
COCCOC,-4.84
CCOCCOC(=O)C,-5.31
c1ccc(cc1)O[C@@H](C(F)F)F,-1.29
CC(C)SC(C)C,-1.21
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,-9.44
CCCCC,2.3
CCBr,-0.74
CCC(=O)Nc1ccc(c(c1)Cl)Cl,-7.78
Cc1cccc(c1N)C,-5.21
CC(=O)NC,-10.0
CN,-4.55
CCOP(=O)(OCC)OCC,-7.5
Cc1ccncc1,-4.93
CCCC1CCCC1,2.13
CC(C)O,-4.74
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53
COC(CCl)(OC)OC,-4.59
CC(=O)c1ccccc1,-4.58
CCCCCC#C,0.6
c1ccc2cc3ccccc3cc2c1,-3.95
CC(C)(/C=N\OC(=O)NC)SC,-9.84
c1cc(cc(c1)O)[N+](=O)[O-],-9.62
COC(=O)C1CCCCC1,-3.3
CCC(=O)O,-6.46
CCc1ccccc1,-0.79
CC[C@H](C)O,-4.62
C(CCl)Cl,-1.79
C=CCCl,-0.57
CCC(=O)OC,-2.93
CCOC,-2.1
c1ccc(c(c1)Cl)Cl,-1.36
CCCC(=O)OCCC,-2.28
CCC(C)CC,2.51
CCCc1ccc(c(c1)OC)O,-5.26
Cc1ccc(cc1)C(C)C,-0.68
CCC[C@H](C)CC,2.71
CC(F)F,-0.11
C[C@H]1CCCO1,-3.3
C(F)(F)(F)Br,1.79
Cc1ccccc1C,-0.9
C[C@@H](C(F)(F)F)O,-4.16
c1ccc(c(c1)C=O)O,-4.68
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21
CC(=O)CO[N+](=O)[O-],-5.99
C1CCC(=O)C1,-4.7
CC=C(C)C,1.31
[C@@H](C(F)(F)F)(Cl)Br,-0.11
c1cc(c(cc1O)Cl)Cl,-7.29
CCO,-5.0
CCc1ccncc1,-4.73
c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06
CCCCCCC,2.67
CC=C,1.32
C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl,-4.23
C(=C(F)F)(C(F)(F)F)F,2.93
c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl,-16.43
